arquivo,os,cliente,tecnico,tipo_operacional,cobertura,descricao_produto,contrato_ativo_inativo,ordem_compra,alerta_faturamento,alerta_codigo,alerta_laudo,alerta_contrato,alerta_total
C:\Users\paulo.aguiar\Downloads\V67873.pdf,V67873,FRANGOESTE AVICULTURA LTDA,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Avulso,CATRACA NEW BAP BR RET BIO ID 5000USR PX 125KHZ,Inativo,"( )Nao ( x )Sim, Alguma observacao? DATA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\v68172.pdf,V68172,SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REGIONAL N,VALMIR ALVES RIBEIRO,Corretiva/Chamado,Avulso,CATRACA FANCY LINE BR.ART QR (SESC),Inativo,"Sim Alguma observacao: apos a visita, necessario aguardar a SC e DLS ser",1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67304.pdf,V67304,BULKCENTRO TURISMO LTDA,RONALDO ZULIANI DOS SANTOS,Corretiva/Chamado,Avulso,RELOGIO SMART PRINT WIFI BIO ID 500USR,Inativo,"( ) Nao ( x)Si m, Alguma observaca",1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67317.pdf,V67317,BULKCENTRO TURISMO LTDA,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Avulso,RELOGIO SMART PRINT WIFI BIO ID 500USR,Inativo,"( )Nao ( )Sim, Alguma observacao? DATA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\v68113.pdf,V68113,M. CASSAB COMERCIO E INDUSTRIA LTDA,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Avulso,CONTROLADOR FACE ACCESS II,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V66953.pdf,V66953,KALEFA INDUSTRIA E COMERCIO DE PESCADOS LTDA,CELSO LUIS MATOS,Instalacao,Avulso,CATRACA BAP BLACK V2 PX 125KHZ (P/ FACIAL),Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V66744.pdf,V66744,KALEFA INDUSTRIA E COMERCIO DE PESCADOS LTDA,CELSO LUIS MATOS,Instalacao,Avulso,CATRACA BAP BLACK V2 PX 125KHZ (P/ FACIAL),Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V66954.pdf,V66954,KALEFA INDUSTRIA E COMERCIO DE PESCADOS LTDA,CELSO LUIS MATOS,Instalacao,Avulso,CATRACA BAP BLACK V2 PX 125KHZ (P/ FACIAL),Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67713.pdf,V67713,GR SERVICOS E ALIMENTACAO LTDA,RONALDO ZULIANI DOS SANTOS,Corretiva/Chamado,Avulso,RELOGIO SMART NF C/IMPR. WIFI BIO ID 500USR,Inativo,"( )Nao ( )Sim, Alguma observacao?nao",1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67594.pdf,V67594,GALENA QUIMICA E FARMACEUTICA LTDA,RONALDO ZULIANI DOS SANTOS,Corretiva/Chamado,Garantia,RELOGIO REP-C SMART PRINT WIFI BIO ID 500USR PX 125KHZ,Inativo,"(x)Nao ( )Sim, Alguma observacao? DATA LIMITE PARA",1,0,0,0,1
